SubID,RewardLevel,PenaltyLevel,CueDisplayed,Interval,IntervalLength_Ideal,IntervalLength_Actual,IntervalLengthNoISI_Actual,TaskBugCorrected,NumErrorTrials,RewardLevelTaskCode,PenaltyLevelTaskCode
2013,1,1,Rew2_Pen2,17,6,6.12629545299569,4.37629545299569,0,0,1,1
2013,1,1,Rew2_Pen2,18,6.8,7.02541065702098,4.77541065702098,0,0,1,1
2013,0,1,Rew1_Pen2,19,8.4,8.40113774099154,6.65113774099154,0,0,0,1
2013,1,1,Rew2_Pen2,20,8.4,8.40026310199755,5.90026310199755,0,2,1,1
2013,0,1,Rew1_Pen2,21,7.6,7.61044642800698,5.86044642800698,0,0,0,1
2013,1,1,Rew2_Pen2,22,8.4,8.41082795598777,5.91082795598777,0,0,1,1
2013,0,1,Rew1_Pen2,23,6,6.17645866598468,4.67645866598468,0,0,0,1
2013,0,1,Rew1_Pen2,24,6.8,6.98494759900495,5.48494759900495,0,0,0,1
2013,0,1,Rew1_Pen2,25,6.8,6.80050295399269,5.30050295399269,0,0,0,1
2013,1,1,Rew2_Pen2,26,7.6,7.80944463098422,6.05944463098422,0,3,1,1
2013,0,1,Rew1_Pen2,27,7.6,7.79218913399382,5.79218913399382,0,0,0,1
2013,1,1,Rew2_Pen2,28,6,6.20962466998026,3.95962466998026,0,1,1,1
2013,0,1,Rew1_Pen2,29,6,6.01130014299997,4.26130014299997,0,0,0,1
2013,1,1,Rew2_Pen2,30,6.8,7.02613644799567,5.02613644799567,0,1,1,1
2013,1,1,Rew2_Pen2,31,7.6,7.61062033200869,5.36062033200869,0,3,1,1
2013,0,1,Rew1_Pen2,32,8.4,8.47733774301014,6.72733774301014,0,0,0,1
